,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19
ID,6.693,5.809,4.53,3.105,4.799,4.615,6.658,5.859,5.99,6.665,4.476,4.24,6.658,4.455,3.904,6.176,5.963,3.923,7.015
IE,4.631,3.18,6.938,5.829,4.635,5.492,5.442,1.7,1.7,4.332,5.353,5.44,5.88,4.421,5.547,4.946,1.7,5.521,4.823
IL,5.502,3.811,6.392,5.121,3.531,5.334,5.714,3.928,4.15,5.319,4.361,5.122,6.219,4.933,5.074,5.837,4.136,5.046,5.709
IN,5.991,4.678,5.663,4.164,3.571,4.629,6.446,4.738,4.91,5.838,4.313,4.188,6.888,4.056,4.051,6.142,4.879,4.016,6.268
IQ,5.648,3.962,6.256,4.935,3.288,4.363,5.888,4.058,4.271,5.42,4.963,4.914,6.386,4.732,4.868,5.911,4.251,4.758,5.824
IS,4.332,3.626,6.259,5.827,4.877,5.319,5.508,3.507,3.279,4.049,4.361,5.353,5.919,5.113,5.513,4.668,3.27,5.487,4.629
IT,5.08,3.132,6.144,5.584,4.12,5.554,5.459,3.256,3.364,4.803,5.356,5.319,5.969,4.378,5.425,5.367,3.381,5.319,4.427
JM,3.776,4.389,6.542,7.044,6.17,6.156,4.572,5.111,4.943,3.836,6.247,6.41,4.596,6.262,6.62,3.685,4.969,6.601,3.135
JO,5.508,3.828,6.382,5.106,3.51,5.319,5.727,3.938,4.157,5.334,4.343,5.106,6.237,4.918,5.059,5.842,4.143,4.954,5.718
JP,5.608,5.437,5.1,4.482,5.124,0.872,7.158,5.426,5.463,5.66,3.086,3.425,6.936,3.534,3.789,5.661,5.425,3.786,5.979
KE,6.159,4.736,6.017,5.013,3.885,5.848,5.425,4.823,4.984,5.925,5.596,5.485,5.832,5.411,4.545,6.376,4.988,4.524,6.127
KR,5.68,4.491,4.345,4.311,4.774,3.221,7.127,4.493,5.319,5.694,0.872,3.105,7.123,3.129,3.534,5.78,4.516,3.526,5.999
KW,5.762,4.123,6.162,4.817,3.093,4.35,5.923,4.125,4.423,5.54,4.944,4.875,6.416,4.712,4.803,6.02,4.401,4.774,5.935
KY,3.69,4.358,6.479,7.013,6.219,6.081,4.676,4.363,4.984,3.824,6.187,6.351,4.57,6.153,6.568,3.55,5.011,6.558,1.7
KZ,5.459,4.204,6.031,4.738,3.885,4.553,6.303,4.238,4.382,4.545,4.273,4.293,6.156,4.018,4.361,5.706,4.339,4.326,5.783
LB,5.528,3.761,6.402,5.126,3.547,5.369,5.671,3.88,4.102,4.524,5.119,5.093,6.246,4.898,5.056,5.803,4.088,4.952,5.685
LC,4.127,4.994,6.161,7.003,5.958,6.376,4.249,4.933,4.789,4.032,6.41,6.544,4.497,6.371,6.719,4.17,4.827,6.7,3.639
LU,4.868,1.7,6.271,5.675,4.386,5.473,5.506,0.872,3.132,4.576,4.534,5.364,5.973,5.13,5.44,4.378,3.141,5.411,4.965
LV,4.982,3.244,6.608,5.421,4.209,4.371,5.806,3.268,3.461,4.738,4.973,4.963,6.246,4.787,5.121,4.505,3.412,5.098,4.453
LY,4.451,3.364,6.17,5.509,4.164,5.706,5.346,3.589,3.774,4.962,5.496,5.504,5.877,4.534,5.502,5.509,3.789,5.475,4.545
MA,4.875,3.555,7.015,5.95,4.574,5.83,5.059,3.582,3.597,4.576,5.666,5.78,5.579,5.499,5.822,4.354,3.634,5.796,4.897
MH,5.658,6.264,4.406,5.026,6.032,4.258,6.595,6.234,6.142,5.853,4.555,4.615,6.185,4.795,4.744,5.526,6.181,4.77,5.88
MK,4.423,3.268,6.598,5.426,4.009,5.444,5.598,3.395,3.647,4.943,4.451,4.474,6.098,4.954,4.499,5.49,3.634,4.465,5.36
MO,6.098,5.321,4.999,3.683,4.631,3.811,7.013,5.418,5.521,6.076,3.547,3.241,7.185,3.387,1.7,6.2,5.485,1.7,6.449
MQ,4.111,4.982,6.167,7.002,5.952,6.304,4.267,4.929,4.778,4.004,6.397,6.538,4.514,6.294,6.707,4.159,4.813,6.689,3.623
MT,4.425,3.381,6.161,5.55,4.134,5.63,5.411,3.384,3.698,4.935,5.428,5.442,5.933,4.453,5.442,5.485,3.708,5.421,4.539
MU,6.722,5.33,5.386,4.551,4.412,5.723,5.678,5.478,5.631,6.449,5.513,5.337,5.969,5.372,5.082,6.921,5.63,5.076,6.669
MV,6.47,5.111,5.325,3.94,3.838,5.059,6.229,4.397,5.353,6.294,4.797,4.613,6.565,4.619,4.348,6.689,5.334,4.332,6.661
MX,3.634,5.485,6.174,6.258,6.43,5.838,5.007,5.413,4.467,4.044,5.998,6.167,4.809,6.077,6.394,3.33,4.484,6.391,3.528
MY,6.537,5.494,4.811,0.872,4.537,4.495,6.716,5.613,5.754,6.476,4.293,4.042,6.249,4.127,3.66,6.595,5.724,3.68,6.279
MZ,6.432,4.551,5.666,4.399,4.698,6.155,5.102,5.388,5.511,6.229,6.006,5.858,5.487,5.855,5.64,6.568,5.525,5.631,6.253
NG,5.54,4.555,6.587,5.827,4.797,6.424,4.572,4.617,4.682,4.539,6.153,6.171,4.404,6.031,6.081,5.713,4.714,5.998,5.371
NL,4.811,1.7,6.265,5.683,4.354,5.43,5.537,0.872,1.7,4.528,4.493,5.337,5.99,5.098,5.425,5.117,1.7,5.319,5.003
NO,4.783,3.183,6.715,5.591,4.348,4.455,5.711,3.102,3.086,4.526,5.074,4.369,6.128,4.91,4.493,5.089,3.132,4.467,4.963
NZ,6.265,7.163,3.576,4.484,6.413,5.421,5.915,7.164,7.159,6.486,5.584,5.523,5.44,5.676,5.458,6.029,7.135,5.485,6.197
OM,5.971,4.363,5.922,4.52,1.7,5.084,6.084,4.532,4.724,5.773,4.803,4.702,6.544,4.57,4.57,6.223,4.702,4.541,6.167
PA,4.046,5.388,6.397,7.205,6.334,6.279,4.421,5.328,4.382,4.148,6.397,6.557,4.345,6.43,6.187,3.88,4.414,6.178,3.469
PG,6.291,6.383,3.642,4.382,5.714,4.421,6.151,6.398,6.454,6.449,4.566,4.474,6.328,4.742,4.408,6.181,6.422,4.358,6.497
PH,6.197,5.638,4.724,3.631,4.875,3.836,7.133,5.661,5.755,6.153,3.706,3.447,7.005,3.776,3.071,6.249,5.721,3.239,6.541
PK,5.859,4.518,5.795,4.348,3.381,4.662,6.383,4.578,4.738,5.696,4.348,4.26,6.271,4.074,4.166,6.093,4.712,4.139,6.141
PL,5.026,3.105,6.658,5.452,4.166,4.503,5.716,3.18,3.42,4.77,5.08,5.132,6.178,4.891,4.408,5.319,3.395,4.382,4.465
PR,3.916,4.992,6.719,6.997,5.987,6.252,4.345,4.931,4.768,3.851,6.294,6.451,4.596,6.279,6.638,3.959,4.801,6.615,3.392
PT,4.764,3.464,7.1,5.965,4.692,5.819,5.126,3.456,3.428,4.457,5.666,5.727,5.626,5.509,5.791,5.052,3.373,5.765,4.821
QA,5.874,4.275,6.068,4.718,1.7,4.345,5.954,4.365,4.566,5.656,4.937,4.856,6.438,4.704,4.748,6.127,4.547,4.72,6.034
RO,4.358,3.313,6.587,5.349,3.94,5.337,5.694,3.428,3.68,4.971,5.124,4.343,6.185,4.92,4.382,5.509,3.66,4.348,5.335
RU,4.343,3.507,6.461,4.451,4.03,5.024,5.947,3.55,3.634,4.918,4.809,4.862,6.392,4.607,4.939,5.421,3.69,4.908,5.334
RW,6.068,4.692,6.124,4.399,4.139,5.971,4.495,4.778,4.927,5.832,5.663,5.63,5.762,5.543,5.468,6.277,4.937,5.451,6.01
SA,5.838,4.209,6.139,4.821,3.096,4.539,5.859,4.304,4.507,5.613,4.952,4.952,6.298,4.807,4.858,6.093,4.493,4.831,5.985
SE,4.875,3.096,6.658,5.504,4.332,4.393,5.772,3.074,3.342,4.627,5.007,5.086,6.197,4.834,4.404,4.386,3.285,4.369,5.133
SG,6.565,5.635,4.734,0.872,4.619,4.495,6.726,5.683,5.816,6.516,4.311,4.051,6.156,4.256,3.693,6.667,5.786,3.708,6.891
SI,4.967,1.7,6.17,5.548,4.2,5.456,5.554,3.141,3.409,4.77,4.486,4.537,6.034,5.065,5.353,5.335,3.398,5.323,4.423
SK,4.969,1.7,6.715,5.506,4.173,5.319,5.616,3.141,3.414,4.778,4.408,4.451,6.095,5.003,4.524,5.337,3.395,4.491,4.361
SN,4.975,4.278,7.002,6.241,5.048,6.297,4.478,4.297,4.275,4.716,6.142,6.235,5.087,6.045,6.243,4.384,4.321,6.219,4.809
SZ,6.414,4.551,5.747,4.354,4.73,6.243,5.074,5.388,5.509,6.151,6.034,5.888,5.456,5.875,5.671,6.547,5.523,5.663,6.229
TD,5.608,4.195,6.547,5.547,4.251,6.023,5.089,4.278,4.414,5.351,5.795,5.749,5.655,5.599,5.666,5.835,4.348,5.643,5.496
TH,6.327,5.356,4.956,3.305,4.367,4.304,6.219,5.332,5.528,6.256,4.039,3.784,7.011,3.914,3.409,6.464,5.502,3.398,6.598
TM,5.683,4.143,6.076,4.7,3.311,4.914,6.153,4.136,4.408,5.487,4.629,4.576,6.631,4.38,4.534,5.936,4.384,4.509,5.925
TN,5.126,3.325,6.235,5.631,4.244,5.673,5.356,3.425,3.61,4.768,5.473,5.497,5.877,4.514,5.516,5.335,3.629,5.487,4.348
TR,5.321,3.568,6.479,4.425,3.713,5.319,5.751,3.678,3.914,4.343,5.08,5.078,6.25,4.856,5.074,5.666,3.892,4.969,5.496
TT,4.206,5.069,6.695,7.003,6.006,6.436,4.159,5.018,4.873,4.132,6.474,6.615,4.397,6.441,6.142,4.132,4.91,6.184,3.701
TW,5.987,5.444,4.967,3.899,4.803,3.555,7.149,5.461,5.545,5.987,3.325,1.7,7.15,3.406,3.071,6.068,5.509,3.093,6.339
TZ,6.279,4.9,5.837,4.958,4.109,5.875,5.426,4.984,4.345,5.987,5.63,5.504,5.869,5.452,4.545,6.487,4.35,4.526,6.234
UA,4.378,3.345,6.541,4.537,3.978,4.406,5.816,3.425,3.66,4.927,4.975,5.013,6.279,4.772,5.065,5.454,3.623,4.958,5.321
UG,6.065,4.572,6.112,5.122,4.03,5.838,5.346,4.742,4.898,5.827,5.658,5.545,5.838,5.463,5.321,6.288,4.906,5.372,6.037
US,0.872,4.897,6.528,6.565,5.915,5.599,4.453,4.811,4.623,3.221,5.68,5.863,4.491,5.706,6.091,0.872,4.633,6.079,0.872
UY,5.319,5.859,5.958,6.684,6.267,7.156,3.353,5.859,5.796,5.388,7.332,7.27,3.273,7.261,7.125,4.514,5.832,7.123,4.962
VE,4.12,4.367,6.614,7.123,6.104,6.392,4.139,5.106,4.954,4.104,6.457,6.605,4.371,6.442,6.151,4.102,4.99,6.196,3.579
VG,3.945,4.967,6.156,6.984,5.968,6.264,4.412,4.908,4.738,3.86,6.307,6.455,4.609,6.28,6.638,3.902,4.78,6.615,3.439
VN,6.159,4.534,5.086,3.571,4.354,4.039,6.877,5.337,5.456,6.107,3.642,3.472,7.163,3.61,3.099,6.288,5.421,3.071,6.444
YE,5.98,4.399,6.085,4.758,3.361,5.477,5.673,4.495,4.678,5.749,4.343,5.122,6.219,5.003,4.986,6.228,4.678,4.962,6.073
ZA,6.303,4.516,5.8,4.514,4.75,6.286,5.013,5.358,5.475,6.162,6.074,5.933,5.413,5.92,5.721,6.493,5.489,5.713,6.173
ZM,6.234,4.956,5.96,4.478,4.499,6.176,5.098,5.108,4.451,6.015,5.947,5.822,5.545,5.775,5.63,6.402,4.474,5.616,6.098
